kind,strike,expiry_days,bid,ask,mid,iv,volume,open_interest,spot
put,185.0,45,3.48,3.51,3.49,0.1521,2046,7936,185.0
call,190.0,45,2.21,2.23,2.22,0.1497,1282,6157,185.0
put,190.0,45,6.25,6.32,6.29,0.1497,1344,5957,185.0
call,195.0,45,0.94,0.96,0.95,0.1478,867,4566,185.0
put,195.0,45,9.92,10.07,9.99,0.1478,933,4624,185.0
call,200.0,45,0.34,0.36,0.35,0.1465,609,3487,185.0
put,200.0,45,14.23,14.49,14.36,0.1465,625,3660,185.0
call,205.0,45,0.1,0.12,0.11,0.1456,367,2828,185.0
put,205.0,45,18.9,19.29,19.1,0.1456,387,2701,185.0
call,210.0,45,0.02,0.04,0.03,0.1451,288,2099,185.0
put,210.0,45,23.72,24.27,23.99,0.1451,256,2000,185.0
call,215.0,45,0.0,0.02,0.01,0.145,186,1531,185.0
put,215.0,45,28.59,29.31,28.95,0.145,170,1557,185.0
call,220.0,45,0.0,0.02,0.01,0.1453,113,1195,185.0
put,220.0,45,33.46,34.38,33.92,0.1453,109,1195,185.0
call,225.0,45,0.0,0.02,0.01,0.146,79,910,185.0
put,225.0,45,38.32,39.47,38.89,0.146,92,858,185.0
call,230.0,45,0.0,0.02,0.01,0.1469,51,707,185.0
put,230.0,45,43.17,44.57,43.87,0.1469,58,720,185.0
call,235.0,45,0.0,0.02,0.01,0.1482,37,554,185.0
put,235.0,45,48.02,49.67,48.84,0.1482,42,540,185.0
call,135.0,90,50.26,52.4,51.33,0.2136,42,531,185.0
put,135.0,90,0.0,0.02,0.01,0.2136,32,514,185.0
call,140.0,90,45.51,47.26,46.38,0.2024,62,677,185.0
put,140.0,90,0.0,0.02,0.01,0.2024,54,687,185.0
call,145.0,90,40.73,42.15,41.44,0.1925,84,988,185.0
put,145.0,90,0.01,0.03,0.02,0.1925,77,915,185.0
call,150.0,90,35.95,37.08,36.51,0.1837,118,1216,185.0
put,150.0,90,0.03,0.05,0.04,0.1837,113,1191,185.0
call,155.0,90,31.17,32.04,31.61,0.176,161,1580,185.0
put,155.0,90,0.08,0.1,0.09,0.176,137,1570,185.0
call,160.0,90,26.43,27.08,26.75,0.1693,248,2081,185.0
put,160.0,90,0.17,0.19,0.18,0.1693,267,2120,185.0
call,165.0,90,21.77,22.24,22.0,0.1634,391,2781,185.0
put,165.0,90,0.37,0.39,0.38,0.1634,399,2657,185.0
call,170.0,90,17.28,17.61,17.44,0.1583,609,3596,185.0
put,170.0,90,0.77,0.79,0.78,0.1583,623,3459,185.0
call,175.0,90,13.1,13.31,13.21,0.154,865,4645,185.0
put,175.0,90,1.48,1.5,1.49,0.154,888,4733,185.0
call,180.0,90,9.39,9.51,9.45,0.1504,1331,6143,185.0
put,180.0,90,2.67,2.7,2.68,0.1504,1307,6075,185.0
call,185.0,90,6.3,6.36,6.33,0.1474,1995,7949,185.0
put,185.0,90,4.49,4.54,4.51,0.1474,1982,8117,185.0
call,190.0,90,3.91,3.96,3.93,0.1449,1287,6197,185.0
put,190.0,90,7.02,7.11,7.07,0.1449,1290,6164,185.0
call,195.0,90,2.24,2.27,2.26,0.1431,897,4632,185.0
put,195.0,90,10.26,10.42,10.34,0.1431,867,4568,185.0
call,200.0,90,1.18,1.2,1.19,0.1417,599,3602,185.0
put,200.0,90,14.1,14.36,14.23,0.1417,616,3565,185.0
call,205.0,90,0.57,0.59,0.58,0.1408,385,2701,185.0
put,205.0,90,18.38,18.76,18.57,0.1408,394,2672,185.0
call,210.0,90,0.25,0.27,0.26,0.1403,233,2010,185.0
put,210.0,90,22.94,23.47,23.2,0.1403,277,2140,185.0
call,215.0,90,0.1,0.12,0.11,0.1402,151,1596,185.0
put,215.0,90,27.65,28.35,28.0,0.1402,190,1590,185.0
call,220.0,90,0.04,0.06,0.05,0.1405,120,1200,185.0
put,220.0,90,32.44,33.34,32.89,0.1405,107,1204,185.0
call,225.0,90,0.01,0.03,0.02,0.1412,58,928,185.0
put,225.0,90,37.25,38.37,37.81,0.1412,82,933,185.0
call,230.0,90,0.0,0.02,0.01,0.1422,55,711,185.0
put,230.0,90,42.07,43.43,42.75,0.1422,47,737,185.0
call,235.0,90,0.0,0.02,0.01,0.1435,25,516,185.0
put,235.0,90,46.89,48.51,47.7,0.1435,41,542,185.0
call,135.0,180,51.63,53.82,52.73,0.209,34,552,185.0
put,135.0,180,0.08,0.1,0.09,0.209,32,508,185.0
call,140.0,180,46.95,48.77,47.86,0.1978,49,703,185.0
put,140.0,180,0.11,0.13,0.12,0.1978,41,730,185.0
call,145.0,180,42.28,43.75,43.02,0.1878,86,877,185.0
put,145.0,180,0.17,0.19,0.18,0.1878,100,963,185.0
call,150.0,180,37.62,38.8,38.21,0.1791,119,1242,185.0
put,150.0,180,0.27,0.29,0.28,0.1791,110,1209,185.0
call,155.0,180,33.0,33.92,33.46,0.1714,174,1526,185.0
put,155.0,180,0.42,0.44,0.43,0.1714,165,1533,185.0
call,160.0,180,28.45,29.16,28.81,0.1646,266,2020,185.0
put,160.0,180,0.67,0.69,0.68,0.1646,257,2145,185.0
call,165.0,180,24.04,24.56,24.3,0.1587,428,2770,185.0
put,165.0,180,1.06,1.08,1.07,0.1587,402,2743,185.0
call,170.0,180,19.82,20.19,20.0,0.1537,614,3557,185.0
put,170.0,180,1.67,1.7,1.68,0.1537,581,3561,185.0
call,175.0,180,15.88,16.13,16.01,0.1493,982,4623,185.0
put,175.0,180,2.57,2.61,2.59,0.1493,893,4688,185.0
call,180.0,180,12.32,12.48,12.4,0.1457,1310,6097,185.0
put,180.0,180,3.86,3.91,3.88,0.1457,1346,6164,185.0
call,185.0,180,9.22,9.32,9.27,0.1427,2013,7772,185.0
put,185.0,180,5.63,5.68,5.66,0.1427,2034,8011,185.0
call,190.0,180,6.62,6.71,6.67,0.1403,1355,6000,185.0
put,190.0,180,7.91,8.01,7.96,0.1403,1269,6068,185.0
call,195.0,180,4.57,4.64,4.61,0.1384,885,4716,185.0
put,195.0,180,10.72,10.88,10.8,0.1384,902,4618,185.0
call,200.0,180,3.04,3.09,3.06,0.137,553,3541,185.0
put,200.0,180,14.03,14.28,14.16,0.137,590,3375,185.0
call,205.0,180,1.94,1.98,1.96,0.1361,402,2739,185.0
put,205.0,180,17.78,18.14,17.96,0.1361,423,2713,185.0
call,210.0,180,1.2,1.23,1.22,0.1357,252,2027,185.0
put,210.0,180,21.86,22.37,22.11,0.1357,250,2080,185.0
call,215.0,180,0.72,0.74,0.73,0.1356,178,1555,185.0
put,215.0,180,26.2,26.87,26.53,0.1356,153,1637,185.0
call,220.0,180,0.42,0.44,0.43,0.1359,118,1203,185.0
put,220.0,180,30.71,31.56,31.14,0.1359,129,1229,185.0
call,225.0,180,0.24,0.26,0.25,0.1365,80,902,185.0
put,225.0,180,35.33,36.39,35.86,0.1365,84,935,185.0
call,230.0,180,0.14,0.16,0.15,0.1375,59,699,185.0
put,230.0,180,40.01,41.3,40.65,0.1375,50,664,185.0
call,235.0,180,0.07,0.09,0.08,0.1388,41,529,185.0
put,235.0,180,44.72,46.27,45.49,0.1388,34,570,185.0
