kind,strike,expiry_days,bid,ask,mid,iv,volume,open_interest,spot
call,102.5,21,1.56,1.58,1.57,0.2623,1370,6184,100.0
put,102.5,21,3.81,3.85,3.83,0.2623,1407,6179,100.0
call,105.0,21,0.83,0.85,0.84,0.2594,960,4740,100.0
put,105.0,21,5.56,5.64,5.6,0.2594,907,4785,100.0
call,107.5,21,0.4,0.42,0.41,0.2568,661,3797,100.0
put,107.5,21,7.59,7.73,7.66,0.2568,629,3650,100.0
call,110.0,21,0.17,0.19,0.18,0.2547,485,2975,100.0
put,110.0,21,9.83,10.02,9.93,0.2547,392,2871,100.0
call,112.5,21,0.06,0.08,0.07,0.253,320,2349,100.0
put,112.5,21,12.18,12.45,12.31,0.253,319,2259,100.0
call,115.0,21,0.02,0.04,0.03,0.2517,180,1811,100.0
put,115.0,21,14.58,14.94,14.76,0.2517,188,1822,100.0
call,117.5,21,0.0,0.02,0.01,0.2508,147,1471,100.0
put,117.5,21,17.01,17.46,17.24,0.2508,148,1406,100.0
call,120.0,21,0.0,0.02,0.01,0.2501,88,1074,100.0
put,120.0,21,19.45,20.01,19.73,0.2501,86,1061,100.0
call,122.5,21,0.0,0.02,0.01,0.2498,67,854,100.0
put,122.5,21,21.88,22.56,22.22,0.2498,66,850,100.0
call,125.0,21,0.0,0.02,0.01,0.2498,46,662,100.0
put,125.0,21,24.31,25.11,24.71,0.2498,51,668,100.0
call,127.5,21,0.0,0.02,0.01,0.2501,38,507,100.0
put,127.5,21,26.74,27.67,27.21,0.2501,30,528,100.0
call,130.0,21,0.0,0.02,0.01,0.2506,30,399,100.0
put,130.0,21,29.16,30.24,29.7,0.2506,19,398,100.0
call,132.5,21,0.0,0.02,0.01,0.2513,7,302,100.0
put,132.5,21,31.58,32.81,32.2,0.2513,13,332,100.0
call,135.0,21,0.0,0.02,0.01,0.2523,7,220,100.0
put,135.0,21,34.0,35.38,34.69,0.2523,13,250,100.0
call,65.0,30,34.28,36.15,35.21,0.3939,9,243,100.0
put,65.0,30,0.0,0.02,0.01,0.3939,7,222,100.0
call,67.5,30,31.92,33.53,32.72,0.3774,14,324,100.0
put,67.5,30,0.0,0.02,0.01,0.3774,15,292,100.0
call,70.0,30,29.54,30.92,30.23,0.3624,11,386,100.0
put,70.0,30,0.0,0.02,0.01,0.3624,23,365,100.0
call,72.5,30,27.15,28.32,27.74,0.3488,39,521,100.0
put,72.5,30,0.0,0.02,0.01,0.3488,37,503,100.0
call,75.0,30,24.76,25.74,25.25,0.3364,44,655,100.0
put,75.0,30,0.0,0.02,0.01,0.3364,55,698,100.0
call,77.5,30,22.36,23.17,22.76,0.3253,78,843,100.0
put,77.5,30,0.0,0.02,0.01,0.3253,56,892,100.0
call,80.0,30,19.95,20.61,20.28,0.3152,89,1050,100.0
put,80.0,30,0.01,0.03,0.02,0.3152,118,1064,100.0
call,82.5,30,17.55,18.07,17.81,0.3061,152,1388,100.0
put,82.5,30,0.03,0.05,0.04,0.3061,163,1438,100.0
call,85.0,30,15.16,15.56,15.36,0.298,221,1791,100.0
put,85.0,30,0.07,0.09,0.08,0.298,201,1817,100.0
call,87.5,30,12.8,13.1,12.95,0.2906,283,2333,100.0
put,87.5,30,0.15,0.17,0.16,0.2906,323,2299,100.0
call,90.0,30,10.51,10.73,10.62,0.284,484,2795,100.0
put,90.0,30,0.32,0.34,0.33,0.284,398,2971,100.0
call,92.5,30,8.34,8.49,8.42,0.2782,671,3823,100.0
put,92.5,30,0.61,0.63,0.62,0.2782,591,3800,100.0
call,95.0,30,6.36,6.45,6.4,0.2729,961,4833,100.0
put,95.0,30,1.08,1.1,1.09,0.2729,960,4935,100.0
call,97.5,30,4.61,4.67,4.64,0.2684,1419,6251,100.0
put,97.5,30,1.81,1.83,1.82,0.2684,1349,6151,100.0
call,100.0,30,3.17,3.2,3.18,0.2643,1979,7946,100.0
put,100.0,30,2.84,2.87,2.86,0.2643,1944,8024,100.0
call,102.5,30,2.04,2.07,2.06,0.2608,1436,6130,100.0
put,102.5,30,4.19,4.25,4.22,0.2608,1304,6261,100.0
call,105.0,30,1.23,1.25,1.24,0.2578,938,4906,100.0
put,105.0,30,5.85,5.94,5.9,0.2578,925,4795,100.0
call,107.5,30,0.69,0.71,0.7,0.2553,690,3824,100.0
put,107.5,30,7.78,7.92,7.85,0.2553,661,3730,100.0
call,110.0,30,0.36,0.38,0.37,0.2532,422,2908,100.0
put,110.0,30,9.91,10.11,10.01,0.2532,466,2934,100.0
call,112.5,30,0.17,0.19,0.18,0.2515,324,2335,100.0
put,112.5,30,12.18,12.45,12.31,0.2515,310,2313,100.0
call,115.0,30,0.07,0.09,0.08,0.2502,211,1722,100.0
put,115.0,30,14.53,14.88,14.71,0.2502,199,1780,100.0
call,117.5,30,0.03,0.05,0.04,0.2492,138,1337,100.0
put,117.5,30,16.93,17.38,17.15,0.2492,121,1356,100.0
call,120.0,30,0.01,0.03,0.02,0.2486,96,1124,100.0
put,120.0,30,19.34,19.9,19.62,0.2486,100,1067,100.0
call,122.5,30,0.0,0.02,0.01,0.2483,62,820,100.0
put,122.5,30,21.77,22.44,22.1,0.2483,73,829,100.0
call,125.0,30,0.0,0.02,0.01,0.2483,31,673,100.0
put,125.0,30,24.19,24.99,24.59,0.2483,31,700,100.0
call,127.5,30,0.0,0.02,0.01,0.2485,26,479,100.0
put,127.5,30,26.62,27.55,27.08,0.2485,28,517,100.0
call,130.0,30,0.0,0.02,0.01,0.2491,24,415,100.0
put,130.0,30,29.04,30.11,29.57,0.2491,22,418,100.0
call,132.5,30,0.0,0.02,0.01,0.2498,19,294,100.0
put,132.5,30,31.45,32.68,32.07,0.2498,13,322,100.0
call,135.0,30,0.0,0.02,0.01,0.2508,13,264,100.0
put,135.0,30,33.87,35.25,34.56,0.2508,6,250,100.0
call,65.0,45,34.38,36.26,35.32,0.3917,15,247,100.0
put,65.0,45,0.0,0.02,0.01,0.3917,8,259,100.0
call,67.5,45,32.03,33.65,32.84,0.3752,16,333,100.0
put,67.5,45,0.0,0.02,0.01,0.3752,17,305,100.0
call,70.0,45,29.66,31.04,30.35,0.3602,25,394,100.0
put,70.0,45,0.0,0.02,0.01,0.3602,22,367,100.0
call,72.5,45,27.28,28.46,27.87,0.3466,30,488,100.0
put,72.5,45,0.0,0.02,0.01,0.3466,27,527,100.0
call,75.0,45,24.9,25.88,25.39,0.3342,45,675,100.0
put,75.0,45,0.01,0.03,0.02,0.3342,53,619,100.0
call,77.5,45,22.51,23.33,22.92,0.3231,79,799,100.0
put,77.5,45,0.03,0.05,0.04,0.3231,75,862,100.0
call,80.0,45,20.13,20.79,20.46,0.313,96,1093,100.0
put,80.0,45,0.06,0.08,0.07,0.313,97,1147,100.0
call,82.5,45,17.76,18.29,18.03,0.3039,133,1379,100.0
put,82.5,45,0.11,0.13,0.12,0.3039,131,1373,100.0
call,85.0,45,15.43,15.84,15.63,0.2958,199,1818,100.0
put,85.0,45,0.21,0.23,0.22,0.2958,201,1742,100.0
call,87.5,45,13.15,13.46,13.3,0.2884,305,2177,100.0
put,87.5,45,0.36,0.38,0.37,0.2884,306,2256,100.0
call,90.0,45,10.95,11.18,11.07,0.2818,463,2844,100.0
put,90.0,45,0.61,0.63,0.62,0.2818,434,2859,100.0
call,92.5,45,8.89,9.05,8.97,0.276,658,3711,100.0
put,92.5,45,1.0,1.02,1.01,0.276,620,3794,100.0
call,95.0,45,6.99,7.1,7.05,0.2707,926,4833,100.0
put,95.0,45,1.57,1.59,1.58,0.2707,971,4996,100.0
call,97.5,45,5.32,5.39,5.35,0.2662,1430,6174,100.0
put,97.5,45,2.36,2.39,2.37,0.2662,1336,6219,100.0
call,100.0,45,3.89,3.93,3.91,0.2621,2028,8118,100.0
put,100.0,45,3.4,3.44,3.42,0.2621,2004,7930,100.0
call,102.5,45,2.73,2.76,2.75,0.2586,1406,6228,100.0
put,102.5,45,4.71,4.77,4.74,0.2586,1378,6129,100.0
call,105.0,45,1.83,1.86,1.85,0.2556,1016,5017,100.0
put,105.0,45,6.28,6.38,6.33,0.2556,949,4800,100.0
call,107.5,45,1.18,1.2,1.19,0.2531,614,3747,100.0
put,107.5,45,8.09,8.23,8.16,0.2531,647,3784,100.0
call,110.0,45,0.72,0.74,0.73,0.251,462,2880,100.0
put,110.0,45,10.09,10.29,10.19,0.251,436,2918,100.0
call,112.5,45,0.42,0.44,0.43,0.2493,313,2336,100.0
put,112.5,45,12.24,12.51,12.38,0.2493,338,2311,100.0
call,115.0,45,0.23,0.25,0.24,0.248,182,1730,100.0
put,115.0,45,14.5,14.85,14.68,0.248,216,1859,100.0
call,117.5,45,0.12,0.14,0.13,0.247,153,1408,100.0
put,117.5,45,16.83,17.28,17.06,0.247,144,1373,100.0
call,120.0,45,0.06,0.08,0.07,0.2464,105,998,100.0
put,120.0,45,19.2,19.75,19.48,0.2464,114,1098,100.0
call,122.5,45,0.03,0.05,0.04,0.2461,86,864,100.0
put,122.5,45,21.6,22.27,21.93,0.2461,70,844,100.0
call,125.0,45,0.01,0.03,0.02,0.2461,45,645,100.0
put,125.0,45,24.01,24.8,24.4,0.2461,46,616,100.0
call,127.5,45,0.0,0.02,0.01,0.2463,35,490,100.0
put,127.5,45,26.42,27.34,26.88,0.2463,39,523,100.0
call,130.0,45,0.0,0.02,0.01,0.2469,19,385,100.0
put,130.0,45,28.83,29.9,29.36,0.2469,30,401,100.0
call,132.5,45,0.0,0.02,0.01,0.2476,24,297,100.0
put,132.5,45,31.24,32.46,31.85,0.2476,14,334,100.0
call,135.0,45,0.0,0.02,0.01,0.2486,14,243,100.0
put,135.0,45,33.65,35.02,34.34,0.2486,12,229,100.0
call,65.0,60,34.5,36.38,35.44,0.3898,13,241,100.0
put,65.0,60,0.0,0.02,0.01,0.3898,8,232,100.0
call,67.5,60,32.15,33.77,32.96,0.3733,16,295,100.0
put,67.5,60,0.01,0.03,0.02,0.3733,20,327,100.0
call,70.0,60,29.79,31.18,30.48,0.3583,16,370,100.0
put,70.0,60,0.01,0.03,0.02,0.3583,17,405,100.0
call,72.5,60,27.42,28.6,28.01,0.3447,25,496,100.0
put,72.5,60,0.03,0.05,0.04,0.3447,35,536,100.0
call,75.0,60,25.06,26.05,25.55,0.3324,45,657,100.0
put,75.0,60,0.05,0.07,0.06,0.3324,36,654,100.0
call,77.5,60,22.69,23.51,23.1,0.3212,65,875,100.0
put,77.5,60,0.08,0.1,0.09,0.3212,66,865,100.0
call,80.0,60,20.34,21.01,20.68,0.3112,99,1043,100.0
put,80.0,60,0.14,0.16,0.15,0.3112,84,1086,100.0
call,82.5,60,18.02,18.55,18.28,0.3021,119,1383,100.0
put,82.5,60,0.23,0.25,0.24,0.3021,158,1345,100.0
call,85.0,60,15.73,16.15,15.94,0.2939,226,1829,100.0
put,85.0,60,0.37,0.39,0.38,0.2939,206,1754,100.0
call,87.5,60,13.51,13.83,13.67,0.2865,307,2287,100.0
put,87.5,60,0.59,0.61,0.6,0.2865,291,2329,100.0
call,90.0,60,11.39,11.63,11.51,0.28,411,2886,100.0
put,90.0,60,0.91,0.93,0.92,0.28,440,2875,100.0
call,92.5,60,9.39,9.56,9.48,0.2741,646,3860,100.0
put,92.5,60,1.36,1.38,1.37,0.2741,627,3740,100.0
call,95.0,60,7.56,7.67,7.62,0.2689,950,4927,100.0
put,95.0,60,1.98,2.01,1.99,0.2689,840,4872,100.0
call,97.5,60,5.92,6.0,5.96,0.2643,1348,6293,100.0
put,97.5,60,2.8,2.84,2.82,0.2643,1381,6176,100.0
call,100.0,60,4.51,4.55,4.53,0.2603,1976,8046,100.0
put,100.0,60,3.86,3.89,3.87,0.2603,2066,7904,100.0
call,102.5,60,3.32,3.36,3.34,0.2568,1371,6384,100.0
put,102.5,60,5.13,5.2,5.17,0.2568,1341,6154,100.0
call,105.0,60,2.37,2.4,2.38,0.2538,917,4788,100.0
put,105.0,60,6.65,6.74,6.7,0.2538,912,4938,100.0
call,107.5,60,1.63,1.66,1.65,0.2513,639,3753,100.0
put,107.5,60,8.37,8.52,8.44,0.2513,657,3866,100.0
call,110.0,60,1.09,1.11,1.1,0.2492,414,2867,100.0
put,110.0,60,10.28,10.48,10.38,0.2492,418,2985,100.0
call,112.5,60,0.71,0.73,0.72,0.2475,264,2267,100.0
put,112.5,60,12.34,12.61,12.48,0.2475,311,2292,100.0
call,115.0,60,0.44,0.46,0.45,0.2461,206,1730,100.0
put,115.0,60,14.52,14.87,14.7,0.2461,196,1839,100.0
call,117.5,60,0.27,0.29,0.28,0.2452,140,1383,100.0
put,117.5,60,16.78,17.23,17.01,0.2452,141,1385,100.0
call,120.0,60,0.16,0.18,0.17,0.2446,98,1088,100.0
put,120.0,60,19.11,19.65,19.38,0.2446,95,1031,100.0
call,122.5,60,0.09,0.11,0.1,0.2442,74,817,100.0
put,122.5,60,21.46,22.12,21.79,0.2442,75,851,100.0
call,125.0,60,0.05,0.07,0.06,0.2442,45,662,100.0
put,125.0,60,23.85,24.63,24.24,0.2442,48,676,100.0
call,127.5,60,0.02,0.04,0.03,0.2445,32,500,100.0
put,127.5,60,26.24,27.15,26.7,0.2445,30,496,100.0
call,130.0,60,0.01,0.03,0.02,0.245,26,400,100.0
put,130.0,60,28.64,29.69,29.17,0.245,17,425,100.0
call,132.5,60,0.0,0.02,0.01,0.2458,15,306,100.0
put,132.5,60,31.04,32.25,31.64,0.2458,14,327,100.0
call,135.0,60,0.0,0.02,0.01,0.2468,8,262,100.0
put,135.0,60,33.44,34.8,34.12,0.2468,11,250,100.0
call,65.0,90,34.75,36.64,35.7,0.3869,12,247,100.0
put,65.0,90,0.05,0.07,0.06,0.3869,10,228,100.0
call,67.5,90,32.42,34.06,33.24,0.3704,11,283,100.0
put,67.5,90,0.07,0.09,0.08,0.3704,14,371,100.0
call,70.0,90,30.08,31.49,30.79,0.3554,24,406,100.0
put,70.0,90,0.09,0.11,0.1,0.3554,21,449,100.0
call,72.5,90,27.75,28.95,28.35,0.3418,36,546,100.0
put,72.5,90,0.13,0.15,0.14,0.3418,43,480,100.0
call,75.0,90,25.43,26.43,25.93,0.3295,55,659,100.0
put,75.0,90,0.18,0.2,0.19,0.3295,48,653,100.0
call,77.5,90,23.11,23.95,23.53,0.3183,93,814,100.0
put,77.5,90,0.26,0.28,0.27,0.3183,91,880,100.0
call,80.0,90,20.82,21.51,21.16,0.3083,86,1087,100.0
put,80.0,90,0.37,0.39,0.38,0.3083,106,1079,100.0
call,82.5,90,18.57,19.12,18.84,0.2992,140,1330,100.0
put,82.5,90,0.52,0.54,0.53,0.2992,155,1460,100.0
call,85.0,90,16.37,16.81,16.59,0.291,170,1748,100.0
put,85.0,90,0.74,0.76,0.75,0.291,199,1736,100.0
call,87.5,90,14.24,14.58,14.41,0.2836,290,2370,100.0
put,87.5,90,1.04,1.07,1.05,0.2836,313,2338,100.0
call,90.0,90,12.21,12.47,12.34,0.277,437,2897,100.0
put,90.0,90,1.44,1.47,1.46,0.277,492,2988,100.0
call,92.5,90,10.31,10.49,10.4,0.2712,623,3806,100.0
put,92.5,90,1.97,2.01,1.99,0.2712,644,3820,100.0
call,95.0,90,8.55,8.68,8.61,0.266,1005,4751,100.0
put,95.0,90,2.66,2.7,2.68,0.266,946,4840,100.0
call,97.5,90,6.95,7.04,7.0,0.2614,1373,6213,100.0
put,97.5,90,3.52,3.56,3.54,0.2614,1384,6262,100.0
call,100.0,90,5.55,5.6,5.58,0.2574,2067,7819,100.0
put,100.0,90,4.57,4.62,4.59,0.2574,2019,7982,100.0
call,102.5,90,4.32,4.38,4.35,0.2539,1420,6195,100.0
put,102.5,90,5.81,5.88,5.85,0.2539,1393,6201,100.0
call,105.0,90,3.3,3.35,3.33,0.2509,976,4902,100.0
put,105.0,90,7.24,7.35,7.29,0.2509,917,4762,100.0
call,107.5,90,2.47,2.51,2.49,0.2483,659,3869,100.0
put,107.5,90,8.86,9.01,8.93,0.2483,613,3708,100.0
call,110.0,90,1.81,1.84,1.83,0.2462,433,3018,100.0
put,110.0,90,10.64,10.85,10.75,0.2462,459,2921,100.0
call,112.5,90,1.3,1.33,1.31,0.2445,286,2265,100.0
put,112.5,90,12.57,12.85,12.71,0.2445,309,2203,100.0
call,115.0,90,0.92,0.94,0.93,0.2432,224,1828,100.0
put,115.0,90,14.62,14.98,14.8,0.2432,226,1768,100.0
call,117.5,90,0.63,0.65,0.64,0.2423,144,1360,100.0
put,117.5,90,16.77,17.21,16.99,0.2423,138,1342,100.0
call,120.0,90,0.43,0.45,0.44,0.2416,94,1056,100.0
put,120.0,90,18.99,19.54,19.26,0.2416,118,1096,100.0
call,122.5,90,0.29,0.31,0.3,0.2413,80,870,100.0
put,122.5,90,21.27,21.92,21.6,0.2413,54,841,100.0
call,125.0,90,0.19,0.21,0.2,0.2413,45,660,100.0
put,125.0,90,23.59,24.36,23.97,0.2413,37,680,100.0
call,127.5,90,0.12,0.14,0.13,0.2416,41,505,100.0
put,127.5,90,25.93,26.83,26.38,0.2416,30,498,100.0
call,130.0,90,0.08,0.1,0.09,0.2421,17,443,100.0
put,130.0,90,28.29,29.33,28.81,0.2421,27,378,100.0
call,132.5,90,0.05,0.07,0.06,0.2429,19,339,100.0
put,132.5,90,30.66,31.85,31.26,0.2429,17,296,100.0
call,135.0,90,0.03,0.05,0.04,0.2439,19,238,100.0
put,135.0,90,33.04,34.39,33.71,0.2439,8,255,100.0
call,65.0,180,35.71,37.65,36.68,0.3823,14,227,100.0
put,65.0,180,0.4,0.42,0.41,0.3823,14,237,100.0
call,67.5,180,33.45,35.14,34.29,0.3657,14,293,100.0
put,67.5,180,0.46,0.49,0.47,0.3657,15,317,100.0
call,70.0,180,31.2,32.65,31.92,0.3507,21,383,100.0
put,70.0,180,0.54,0.57,0.56,0.3507,26,396,100.0
call,72.5,180,28.96,30.2,29.58,0.3371,26,497,100.0
put,72.5,180,0.65,0.68,0.66,0.3371,41,495,100.0
call,75.0,180,26.74,27.79,27.27,0.3248,42,711,100.0
put,75.0,180,0.78,0.82,0.8,0.3248,41,649,100.0
call,77.5,180,24.54,25.43,24.99,0.3137,59,869,100.0
put,77.5,180,0.96,0.99,0.97,0.3137,82,877,100.0
call,80.0,180,22.39,23.12,22.76,0.3036,94,1109,100.0
put,80.0,180,1.17,1.21,1.19,0.3036,106,1127,100.0
call,82.5,180,20.28,20.88,20.58,0.2945,154,1418,100.0
put,82.5,180,1.45,1.49,1.47,0.2945,128,1390,100.0
call,85.0,180,18.23,18.72,18.48,0.2863,214,1752,100.0
put,85.0,180,1.79,1.84,1.82,0.2863,218,1743,100.0
call,87.5,180,16.26,16.65,16.45,0.279,336,2271,100.0
put,87.5,180,2.22,2.27,2.24,0.279,305,2217,100.0
call,90.0,180,14.38,14.67,14.52,0.2724,474,2992,100.0
put,90.0,180,2.74,2.8,2.77,0.2724,434,2917,100.0
call,92.5,180,12.59,12.82,12.71,0.2665,661,3818,100.0
put,92.5,180,3.37,3.43,3.4,0.2665,649,3752,100.0
call,95.0,180,10.93,11.09,11.01,0.2613,1010,4905,100.0
put,95.0,180,4.12,4.18,4.15,0.2613,984,4950,100.0
call,97.5,180,9.39,9.5,9.44,0.2567,1378,6169,100.0
put,97.5,180,5.01,5.07,5.04,0.2567,1398,6289,100.0
call,100.0,180,7.98,8.06,8.02,0.2527,1997,8036,100.0
put,100.0,180,6.04,6.1,6.07,0.2527,2063,7961,100.0
call,102.5,180,6.7,6.79,6.74,0.2492,1432,6192,100.0
put,102.5,180,7.2,7.29,7.24,0.2492,1341,6123,100.0
call,105.0,180,5.57,5.66,5.61,0.2462,905,4868,100.0
put,105.0,180,8.5,8.63,8.56,0.2462,956,4880,100.0
call,107.5,180,4.59,4.67,4.63,0.2437,665,3751,100.0
put,107.5,180,9.94,10.12,10.03,0.2437,622,3734,100.0
call,110.0,180,3.75,3.82,3.78,0.2416,430,2916,100.0
put,110.0,180,11.52,11.75,11.64,0.2416,472,2987,100.0
call,112.5,180,3.03,3.1,3.07,0.2399,291,2369,100.0
put,112.5,180,13.22,13.51,13.37,0.2399,310,2299,100.0
call,115.0,180,2.44,2.5,2.47,0.2386,215,1731,100.0
put,115.0,180,15.04,15.4,15.22,0.2386,218,1709,100.0
call,117.5,180,1.95,2.0,1.97,0.2376,142,1358,100.0
put,117.5,180,16.95,17.4,17.18,0.2376,154,1430,100.0
call,120.0,180,1.55,1.59,1.57,0.237,108,1083,100.0
put,120.0,180,18.95,19.5,19.22,0.237,118,1085,100.0
call,122.5,180,1.22,1.26,1.24,0.2367,74,844,100.0
put,122.5,180,21.03,21.67,21.35,0.2367,83,841,100.0
call,125.0,180,0.96,1.0,0.98,0.2367,46,634,100.0
put,125.0,180,23.16,23.92,23.54,0.2367,53,628,100.0
call,127.5,180,0.76,0.79,0.77,0.2369,29,506,100.0
put,127.5,180,25.34,26.22,25.78,0.2369,32,492,100.0
call,130.0,180,0.6,0.62,0.61,0.2374,18,406,100.0
put,130.0,180,27.56,28.58,28.07,0.2374,31,400,100.0
call,132.5,180,0.47,0.49,0.48,0.2382,13,338,100.0
put,132.5,180,29.81,30.97,30.39,0.2382,12,312,100.0
call,135.0,180,0.37,0.39,0.38,0.2392,10,237,100.0
put,135.0,180,32.09,33.4,32.74,0.2392,9,221,100.0
