kind,strike,expiry_days,bid,ask,mid,iv,volume,open_interest,spot
put,47.5,30,0.32,0.34,0.33,0.6478,50,760,62.0
call,50.0,30,12.51,12.91,12.71,0.6279,103,1132,62.0
put,50.0,30,0.53,0.55,0.54,0.6279,118,1112,62.0
call,52.5,30,10.41,10.69,10.55,0.6106,208,1746,62.0
put,52.5,30,0.87,0.89,0.88,0.6106,198,1730,62.0
call,55.0,30,8.46,8.64,8.55,0.5957,346,2708,62.0
put,55.0,30,1.36,1.39,1.37,0.5957,360,2663,62.0
call,57.5,30,6.69,6.81,6.75,0.5829,718,3784,62.0
put,57.5,30,2.04,2.08,2.06,0.5829,662,3956,62.0
call,60.0,30,5.14,5.21,5.17,0.5719,1208,5680,62.0
put,60.0,30,2.96,3.0,2.98,0.5719,1239,5662,62.0
call,62.5,30,3.83,3.87,3.85,0.5626,1695,7340,62.0
put,62.5,30,4.12,4.17,4.14,0.5626,1730,7579,62.0
call,65.0,30,2.76,2.8,2.78,0.5547,981,4974,62.0
put,65.0,30,5.52,5.6,5.56,0.5547,966,4895,62.0
call,67.5,30,1.92,1.96,1.94,0.5482,540,3256,62.0
put,67.5,30,7.15,7.29,7.22,0.5482,506,3316,62.0
call,70.0,30,1.31,1.33,1.32,0.5428,261,2181,62.0
put,70.0,30,8.99,9.19,9.09,0.5428,292,2200,62.0
call,72.5,30,0.86,0.88,0.87,0.5385,168,1469,62.0
put,72.5,30,10.99,11.28,11.13,0.5385,184,1496,62.0
call,75.0,30,0.55,0.57,0.56,0.5351,68,992,62.0
put,75.0,30,13.12,13.51,13.32,0.5351,87,963,62.0
call,77.5,30,0.34,0.36,0.35,0.5327,52,614,62.0
put,77.5,30,15.35,15.85,15.6,0.5327,51,664,62.0
call,80.0,30,0.21,0.23,0.22,0.531,24,439,62.0
put,80.0,30,17.64,18.27,17.96,0.531,36,431,62.0
call,82.5,30,0.12,0.14,0.13,0.53,14,282,62.0
put,82.5,30,19.97,20.76,20.36,0.53,12,273,62.0
call,85.0,30,0.07,0.09,0.08,0.5298,7,159,62.0
put,85.0,30,22.33,23.27,22.8,0.5298,10,189,62.0
call,87.5,30,0.04,0.06,0.05,0.5301,4,145,62.0
put,87.5,30,24.7,25.82,25.26,0.5301,2,150,62.0
call,37.5,60,24.29,25.8,25.05,0.7594,9,145,62.0
put,37.5,60,0.29,0.31,0.3,0.7594,5,136,62.0
call,40.0,60,22.06,23.28,22.67,0.7239,11,211,62.0
put,40.0,60,0.4,0.42,0.41,0.7239,8,237,62.0
call,42.5,60,19.86,20.83,20.34,0.6933,13,314,62.0
put,42.5,60,0.55,0.58,0.56,0.6933,25,348,62.0
call,45.0,60,17.69,18.45,18.07,0.6667,23,504,62.0
put,45.0,60,0.76,0.79,0.78,0.6667,28,457,62.0
call,47.5,60,15.59,16.17,15.88,0.6437,70,786,62.0
put,47.5,60,1.05,1.09,1.07,0.6437,56,787,62.0
call,50.0,60,13.57,14.01,13.79,0.6238,130,1150,62.0
put,50.0,60,1.44,1.49,1.46,0.6238,118,1166,62.0
call,52.5,60,11.67,11.98,11.82,0.6065,193,1721,62.0
put,52.5,60,1.95,2.01,1.98,0.6065,203,1735,62.0
call,55.0,60,9.89,10.11,10.0,0.5916,404,2578,62.0
put,55.0,60,2.61,2.67,2.64,0.5916,389,2617,62.0
call,57.5,60,8.26,8.41,8.34,0.5788,687,3814,62.0
put,57.5,60,3.43,3.49,3.46,0.5788,680,3947,62.0
call,60.0,60,6.8,6.9,6.85,0.5679,1187,5843,62.0
put,60.0,60,4.43,4.49,4.46,0.5679,1222,5776,62.0
call,62.5,60,5.52,5.58,5.55,0.5585,1800,7379,62.0
put,62.5,60,5.61,5.67,5.64,0.5585,1795,7527,62.0
call,65.0,60,4.4,4.46,4.43,0.5507,978,4940,62.0
put,65.0,60,6.95,7.06,7.0,0.5507,970,4830,62.0
call,67.5,60,3.46,3.52,3.49,0.5441,529,3212,62.0
put,67.5,60,8.47,8.63,8.55,0.5441,554,3163,62.0
call,70.0,60,2.69,2.75,2.72,0.5387,287,2230,62.0
put,70.0,60,10.14,10.37,10.26,0.5387,274,2147,62.0
call,72.5,60,2.06,2.12,2.09,0.5344,176,1525,62.0
put,72.5,60,11.96,12.27,12.12,0.5344,151,1417,62.0
call,75.0,60,1.57,1.62,1.59,0.5311,98,968,62.0
put,75.0,60,13.9,14.31,14.1,0.5311,80,983,62.0
call,77.5,60,1.19,1.22,1.2,0.5286,49,673,62.0
put,77.5,60,15.94,16.46,16.2,0.5286,58,688,62.0
call,80.0,60,0.89,0.92,0.91,0.5269,31,456,62.0
put,80.0,60,18.05,18.71,18.38,0.5269,23,428,62.0
call,82.5,60,0.66,0.69,0.68,0.526,18,306,62.0
put,82.5,60,20.24,21.03,20.64,0.526,13,322,62.0
call,85.0,60,0.49,0.52,0.5,0.5257,8,193,62.0
put,85.0,60,22.47,23.42,22.95,0.5257,4,179,62.0
call,87.5,60,0.37,0.39,0.38,0.526,3,135,62.0
put,87.5,60,24.74,25.86,25.3,0.526,4,123,62.0
